name,http status code,title,,,200,555
abcs.mgh.harvard.edu,200,ABCs - MICCAI 2020 Challenge,,,301,69
abel.harvard.edu,200,Harvard Mathematics Department : Home page,,,302,30
about.my.harvard.edu,200,Service Portal - IT Help,,,303,1
ac-web.dce.harvard.edu,200,AC-WEB: Academic Computing,,,307,4
academicresourcecenter.harvard.edu,200,Academic Resource Center,,,400,2
accellion-kw.sph.harvard.edu,200,kiteworks,,,401,7
access1.childrens.harvard.edu,200,IIS Windows Server,,,403,38
accounts.fas.harvard.edu,200,Welcome to HarvardKey,,,404,22
adboard.fas.harvard.edu,200,Harvard College Administrative Board,,,500,3
admissions.hms.harvard.edu,200,Login,,,502,2
agupubs-onlinelibrary-wiley-com.ezp-prod1.hul.harvard.edu,200,Shibboleth Authentication Request,,,503,10
aikawalabs.bwh.harvard.edu,200,Aikawa-Aikawa Laboratories :: Home,,,,
aim.hms.harvard.edu,200,AIM - Harvard,,,,
alp.fas.harvard.edu,200,The African Language Program at Harvard,,,,
alumni.hms.harvard.edu,200,Welcome Alumni | Harvard Medical Alumni Association,,,,
alumni.knet.hks.harvard.edu,200,BIG-IP logout page,,,,
alvarezlab.wjh.harvard.edu,200,Welcome to nginx!,,,,
amanitabase.rc.fas.harvard.edu,200,,,,,
amicus.law.harvard.edu,200,Amicus,,,,
andl.wjh.harvard.edu,200,Home | Affective Neuroscience & Development Lab | Leah Somerville,,,,
animal.law.harvard.edu,200,#NAME?,,,,
anthropology.fas.harvard.edu,200,Anthropology Department,,,,
apex.harvard.edu,200,HUIT Sites Hosting,,,,
apps.campusservices.harvard.edu,200,UOS,,,,
apps.hmc.harvard.edu,200,NetScaler AAA,,,,
apps.huit.harvard.edu,200,Find Harvard Applications,,,,
apr.sagepub.com.ezp-prod1.hul.harvard.edu,200,Shibboleth Authentication Request,,,,
archive.harvard.edu,200,www.cfa.harvard.edu/ |,,,,
archive.revista.drclas.harvard.edu,200,Past Issues | ReVista,,,,
arftopaz.bidmc.harvard.edu,200,IIS7,,,,
ari.hms.harvard.edu,200,Welcome | Academic and Research Integrity,,,,
arsenic.physics.harvard.edu,200,"ARSENICOSIS GLOBAL HEALTH CRISIS
  | “Providing a sustainable solution to millions of people around the world suffering from arsenicosis”",,,,
artavanis-tsakonas.med.harvard.edu,200,Home | Artavanis-Tsakonas Laboratory,,,,
artsandhumanities.fas.harvard.edu,200,Arts & Humanities Division,,,,
as-app-test.hsl.harvard.edu,200,IIS Windows Server,,,,
as-app02.hsl.harvard.edu,200,IIS Windows Server,,,,
atypon-link.com.ezp-prod1.hul.harvard.edu,200,Shibboleth Authentication Request,,,,
aurora-prod-pub.gslb.harvard.edu,200,HarvardKey - Login,,,,
autodiscover.cs.harvard.edu,200,Sign In,,,,
autodiscover.das.harvard.edu,200,Sign In,,,,
autodiscover.gse.harvard.edu,200,Sign In,,,,
autodiscover.harvard.edu,200,Sign In,,,,
autodiscover.hds.harvard.edu,200,Sign In,,,,
autodiscover.hks.harvard.edu,200,Sign In,,,,
autodiscover.masco.harvard.edu,200,Sign in to Outlook,,,,
autodiscover.seas.harvard.edu,200,Sign In,,,,
autodiscover.stokes.deas.harvard.edu,200,Sign In,,,,
autodiscover.xray.deas.harvard.edu,200,Sign In,,,,
autodiscover.xray.harvard.edu,200,Sign In,,,,
avillach-lab.hms.harvard.edu,200,Avillach Lab,,,,
azp1.lib.harvard.edu,200,Shibboleth Authentication Request,,,,
bagmeals2.dining.harvard.edu,200,HarvardKey - Login,,,,
bayes.med.harvard.edu,200,Cell Annotation Platform,,,,
bbcms.ash.harvard.edu,200,,,,,
bccresearch.com.ezp-prod1.hul.harvard.edu,200,Shibboleth Authentication Request,,,,
beam.physics.harvard.edu,200,,,,,
bei.bwh.harvard.edu,200,BEI LAB – Brigham and Women's Hospital,,,,
bender.med.harvard.edu,200,Home | Bender Lab - Harvard Medical School,,,,
besra.hms.harvard.edu,200,Harper Lab Protein Interaction Data,,,,
beta.blogs.harvard.edu,200,How do I create a blog for my course? - IT Help,,,,
biodatacatalyst.integration.aws.dbmi.hms.harvard.edu,200,,,,,
bionumbers.hms.harvard.edu,200,Search BioNumbers - The Database of Useful Biological Numbers,,,,
bkoz.seas.harvard.edu,200,Materials Intelligence Research,,,,
bookhistory.harvard.edu,200,Harvard University | History of the Book at Harvard,,,,
bpfwvwebd01.med.harvard.edu,200,Biopolymers Facility,,,,
brain.med.harvard.edu,200,Neuroinformatics Research Group,,,,
bsp.med.harvard.edu,200,Home | Basic Science Partnership,,,,
bulletin-archive.hds.harvard.edu,200,Harvard Divinity Bulletin Archive,,,,
canvas.gse.harvard.edu,200,Canvas @GSE,,,,
cardiacmr.hms.harvard.edu,200,Cardiac MR Center,,,,
careerdiscovery.gsd.harvard.edu,200,Design Discovery Harvard GSD - 2021 dates TBA,,,,
cares.gse.harvard.edu,200,The Miratrix C.A.R.E.S. Lab,,,,
catalog.hup.harvard.edu,200,,,,,
cbat.eps.harvard.edu,200,Central Bureau for Astronomical Telegrams,,,,
cbdm.hms.harvard.edu,200,CBDM Lab,,,,
cbs.fas.harvard.edu,200,Center for Brain Science,,,,
ccdd.hsph.harvard.edu,200,Center for Communicable Disease Dynamics,,,,
cciblimsio.mgh.harvard.edu,200,,,,,
ccva.fas.harvard.edu,200,Home - Carpenter Center for Visual Arts,,,,
cdasr.mclean.harvard.edu,200,CDASR | The Center for Depression Anxiety and Stress Research,,,,
cdn3.sph.harvard.edu,200,Harvard T.H. Chan School of Public Health | Powerful ideas for a healthier world,,,,
centerforadvancedimaging.harvard.edu,200,Center for Advanced Imaging at Harvard,,,,
cfce.dfci.harvard.edu,200,CFCE,,,,
cfs.mcz.harvard.edu,200,Concord Field Station,,,,
cgis.fas.harvard.edu,200,cgis,,,,
chandra.cfa.harvard.edu,200,,,,,
chds.hsph.harvard.edu,200,Center for Health Decision Science,,,,
chou.med.harvard.edu,200,Home | James Chou Lab,,,,
chsadmin.chs.harvard.edu,200,Redirecting to /portal,,,,
cics.bwh.harvard.edu,200,Center for Interdisciplinary Cardiovascular Sciences :: Welcome (hidden),,,,
ciolab.dfci.harvard.edu,200,Immune Assessment Lab |,,,,
cityform.gsd.harvard.edu,200,City Form Lab,,,,
classes.harvard.edu,200,,,,,
classrequest.library.harvard.edu,200,Welcome | Class Request Tool,,,,
cmcd2.med.harvard.edu,200,SBGrid Consortium,,,,
cmeonline.hms.harvard.edu,200,CME Online | HMS Postgraduate Education,,,,
cmrcore.bwh.harvard.edu,200,CMR Core Lab,,,,
cms.www.countway.harvard.edu,200,,,,,
coache.gse.harvard.edu,200,Collaborative on Academic Careers in Higher Education| COACHE,,,,
cogneuro.psychology.fas.harvard.edu,200,Cognitive Neuropsychology Laboratory,,,,
cohortsdb.bwh.harvard.edu,200,Blood Lab Management,,,,
collections.rc.fas.harvard.edu,200,,,,,
collegefb-prod-pub.gslb.harvard.edu,200,HarvardKey - Login,,,,
commonspaces.harvard.edu,200,Harvard Common Spaces,,,,
connections.harvard.edu,200,HarvardKey - Login,,,,
connorscenter.bwh.harvard.edu,200,Connors Center – Brigham and Women's Hospital,,,,
cores.fas.harvard.edu,200,FAS Research Core Facilities,,,,
countway.harvard.edu,200,Countway Library | Countway Library,,,,
courseval.hds.harvard.edu,200,,,,,
cpic.fas.harvard.edu,200,Center for Public Interest Careers | Public Service at Harvard College,,,,
crossregistration.stage.ats.cloud.huit.harvard.edu,200,HarvardKey - Login,,,,
cs124.seas.harvard.edu,200,PS12X,,,,
cs61.seas.harvard.edu,200,CS 61,,,,
cts.dfci.harvard.edu,200,eSign - Sign In,,,,
curiosity-prod-pub.gslb.harvard.edu,200,CURIOSity Digital Collections,,,,
daedalus.mgh.harvard.edu,200,Zimbra Web Client Sign In,,,,
danasec1.dfci.harvard.edu,200,,,,,
datasciences.dfci.harvard.edu,200,Dana Farber Data Science | Powering Cancer Research,,,,
datawise.gse.harvard.edu,200,Data Wise,,,,
dbmi.hms.harvard.edu,200,Biomedical Informatics | Department of Biomedical Informatics,,,,
decisionlab.harvard.edu,200,Harvard Decision Science Lab | Harvard Kennedy School,,,,
declaration.fas.harvard.edu,200,Declaration Resources Project,,,,
dermatology.bwh.harvard.edu,200,index,,,,
dev-lists.hks.harvard.edu,200,List Index - mailman.hks.harvard.edu,,,,
dhcp-128-103-100-13.fas.harvard.edu,200,HP Color LaserJet MFP M277dw   128.103.100.13,,,,
dhcp-128-103-54-181.fas.harvard.edu,200,Remote UI: Login: MF731C/733C: MF731C/733C,,,,
dhcp-128-103-54-234.fas.harvard.edu,200,NETGEAR GS108T,,,,
dhcp-128-103-90-215.fas.harvard.edu,200,Web Image Monitor,,,,
dhcp-128-103-97-200.fas.harvard.edu,200,HP » Device Status,,,,
dhcp-140-247-102-123.fas.harvard.edu,200,HP LaserJet M402dw   140.247.102.123,,,,
dhcp-140-247-105-45.fas.harvard.edu,200,Web Image Monitor,,,,
dhcp-140-247-106-75.fas.harvard.edu,200,,,,,
dhcp-140-247-107-197.fas.harvard.edu,200,HP LaserJet 400 color M451dw   140.247.107.197,,,,
dhcp-140-247-109-183.fas.harvard.edu,200,Web Image Monitor,,,,
dhcp-140-247-112-209.fas.harvard.edu,200,HP » Device Status,,,,
dhcp-140-247-119-70.fas.harvard.edu,200,Index of /,,,,
dhcp-140-247-123-17.fas.harvard.edu,200,1-Day Plots,,,,
dhcp-140-247-123-191.fas.harvard.edu,200,HP Color LaserJet CP2025dn   140.247.123.191,,,,
dhcp-140-247-123-241.fas.harvard.edu,200,hp LaserJet 4350,,,,
dhcp-140-247-172-44.fas.harvard.edu,200,Web Image Monitor,,,,
dhcp-140-247-198-16.fas.harvard.edu,200,IIS Windows Server,,,,
dhcp-140-247-198-32.fas.harvard.edu,200,,,,,
dhcp-140-247-212-186.fas.harvard.edu,200,,,,,
dhcp-140-247-212-251.fas.harvard.edu,200,Home - Xerox Phaser 3300MFP,,,,
dhcp-140-247-38-144.fas.harvard.edu,200,Web Image Monitor,,,,
dhcp-140-247-38-250.fas.harvard.edu,200,140.247.38.250,,,,
dhcp-140-247-76-71.fas.harvard.edu,200,HP LaserJet M402dw   140.247.76.71,,,,
digital.harvard.edu,200,Digital,,,,
dinandtonics.sigs.harvard.edu,200,Harvard Din & Tonics Alumni Foundation,,,,
directory.hup.harvard.edu,200,LDAP Account Manager,,,,
discourse.nmr.mgh.harvard.edu,200,MGH/HST Martinos Center for Biomedical Imaging |,,,,
djo.harvard.edu,200,DJO | Digital Journal of Ophthalmology,,,,
doi-org.ezp-prod1.hul.harvard.edu,200,Shibboleth Authentication Request,,,,
download.springer.com.ezp-prod1.hul.harvard.edu,200,Shibboleth Authentication Request,,,,
dua.harvard.edu,200,Client Refused Session,,,,
dvn.iq.harvard.edu,200,Harvard Dataverse,,,,
eaa.fas.harvard.edu,200,East Asian Art Program at Harvard University,,,,
ealc.fas.harvard.edu,200,East Asian Languages and Civilizations,,,,
ecologicalurbanism.gsd.harvard.edu,200,Ecological Urbanism - Harvard Graduate School of Design,,,,
econcs.seas.harvard.edu,200,econcs,,,,
ecor.mgh.harvard.edu,200,,,,,
ecor2.mgh.harvard.edu,200,,,,,
ecpetracker.sph.harvard.edu,200,Bitnami: Open Source. Simplified,,,,
ecsp.gse.harvard.edu,200,New Civics Early Career Scholars Program,,,,
eda.lib.harvard.edu,200,Emily Dickinson Archive,,,,
eelp.law.harvard.edu,200,Home - Environmental & Energy Law Program - Harvard Law School,,,,
eesl.chge.hsph.harvard.edu,200,Executive Education for Sustainability Leadership,,,,
elledgelab.med.harvard.edu,200,Elledge Lab,,,,
email.joslin.harvard.edu,200,Outlook,,,,
embeddedethics.seas.harvard.edu,200,Embedded EthiCS @ Harvard,,,,
engage.gsas.harvard.edu,200,#NAME?,,,,
entrepreneurship.gse.harvard.edu,200,Education Entrepreneurship at HGSE,,,,
eon.law.harvard.edu,200,home | Berkman Klein Center,,,,
eqtl.rc.fas.harvard.edu,200,Real time expression Quantitative Trait Loci,,,,
es.flowchart.odr.harvard.edu,200,Oficina de Resolución de Disputas,,,,
esag.harvard.edu,200,Solid Mechanics at Harvard University,,,,
espp.fas.harvard.edu,200,Environmental Science & Public Policy,,,,
etds-prod-pub.gslb.harvard.edu,200,Harvard ETDs - School List,,,,
etds.lib.harvard.edu,200,Harvard ETDs - School List,,,,
evalue.hmdc.harvard.edu,200,E-value calculator,,,,
eve.law.harvard.edu,200,eve.law.harvard.edu,,,,
events.dfhcc.harvard.edu,200,DF/HCC Events,,,,
execed.law.harvard.edu,200,HLS Executive Education | Executive education for leaders in law,,,,
execed.sph.harvard.edu,200,Harvard Chan School's Executive Education Programs,,,,
exed.hks.harvard.edu,200,Executive Education | Harvard Kennedy School,,,,
exploresel.gse.harvard.edu,200,Explore SEL,,,,
expose.fas.harvard.edu,200,Exposé Magazine: Writing from the Harvard University Community,,,,
fa.hms.harvard.edu,200,Harvard Medical School,,,,
faculty.chemistry.harvard.edu,200,Home | Harvard Web Publishing,,,,
facultyfinder.harvard.edu,200,Harvard Link,,,,
facultyresources.fas.harvard.edu,200,Faculty of Arts & Sciences,,,,
faq.nmr.mgh.harvard.edu,200,Computing Systems Frequently Asked Questions | MGH/HST Martinos Center for Biomedical Imaging,,,,
faresewaltherlab.hms.harvard.edu,200,Home | Farese & Walther Lab,,,,
fcoi-prod-pub.gslb.harvard.edu,200,,,,,
fgrtools.hms.harvard.edu,200,FGR - Functional Genomics Resources,,,,
filedrop.nmr.mgh.harvard.edu,200,Redirect to Filedrop,,,,
fileservice.dbmi.hms.harvard.edu,200,DBMI Fileservice Login,,,,
finale.seas.harvard.edu,200,Finale Doshi-Velez,,,,
