,domain,remove_count,keep_count,check_count,remove_percent,keep_percent
351,ad,29,0,0,1.0,0.0
778,atgw-,20,0,0,1.0,0.0
1290,bs-,12,0,0,1.0,0.0
1423,cadm,31,0,0,1.0,0.0
1619,ccb-,19,0,0,1.0,0.0
1899,chem,67,0,0,1.0,0.0
2082,client,368,0,0,1.0,0.0
2320,core-,92,0,0,1.0,0.0
2565,csc-,38,0,0,1.0,0.0
2721,cvrc-,12,0,0,1.0,0.0
2863,dana-,12,0,0,1.0,0.0
3125,dfci-,13,0,0,1.0,0.0
4137,ebps-,15,0,0,1.0,0.0
4713,flybase,25,0,0,1.0,0.0
5090,gslb,27,0,0,1.0,0.0
5226,hcl,49,1,0,0.98,0.02
5352,hfc-,13,0,0,1.0,0.0
5501,hol-,22,0,0,1.0,0.0
6610,ksg-,119,0,0,1.0,0.0
6758,ksga0,11,0,0,1.0,0.0
6770,ksga1,18,0,0,1.0,0.0
6789,ksga2,11,0,0,1.0,0.0
6803,ksgb0,17,0,0,1.0,0.0
6821,ksgb1,26,0,0,1.0,0.0
6848,ksgb2,15,0,0,1.0,0.0
6864,ksgc0,23,0,0,1.0,0.0
6888,ksgc1,26,0,0,1.0,0.0
6930,ksge1,31,0,0,1.0,0.0
6962,ksge2,15,0,0,1.0,0.0
7000,ksgf1,30,0,0,1.0,0.0
7031,ksgf2,13,0,0,1.0,0.0
7668,lsdiv,14,0,0,1.0,0.0
7905,math,58,1,0,0.9830508474576272,0.01694915254237288
7917,mathm,27,0,0,1.0,0.0
7968,mbcf1,27,0,0,1.0,0.0
7996,mbcf2,18,0,0,1.0,0.0
8081,mcb,34,0,1,0.9714285714285714,0.0
8091,mclean,145,1,3,0.9731543624161074,0.006711409395973154
8177,meei,773,0,0,1.0,0.0
8178,meei-,759,0,0,1.0,0.0
9001,mgh-,12,0,0,1.0,0.0
9436,nat-,12,0,0,1.0,0.0
9505,net-,233,0,0,1.0,0.0
9748,netmgt,33,0,0,1.0,0.0
9876,noc,24,0,0,1.0,0.0
10438,otp00,42,0,0,1.0,0.0
11115,print-,13,0,0,1.0,0.0
11151,prod-,12,0,0,1.0,0.0
11211,prp00,17,0,0,1.0,0.0
11260,ptp00,17,0,0,1.0,0.0
11661,ribph,17,0,0,1.0,0.0
11757,roam,15,0,0,1.0,0.0
11952,sao-,55,0,0,1.0,0.0
12263,sfp-,231,0,0,1.0,0.0
12805,sph16-,59,0,0,1.0,0.0
12865,sph172-,60,0,0,1.0,0.0
12926,sph173-,75,0,0,1.0,0.0
13002,sph174-,13,0,0,1.0,0.0
13016,sph178-,50,0,0,1.0,0.0
13067,sph179-,56,0,0,1.0,0.0
13124,sph180-,40,0,0,1.0,0.0
13165,sph181-,59,0,0,1.0,0.0
13225,sph182-,55,0,0,1.0,0.0
13281,sph183-,67,0,0,1.0,0.0
13349,sph184-,52,0,0,1.0,0.0
13402,sph185-,70,0,0,1.0,0.0
13473,sph186-,57,0,0,1.0,0.0
13531,sph187-,66,0,0,1.0,0.0
13598,sph188-,59,0,0,1.0,0.0
13658,sph189-,68,0,0,1.0,0.0
13729,sph191-,66,0,0,1.0,0.0
13796,sph247-,31,0,0,1.0,0.0
13828,sph28-,49,0,0,1.0,0.0
13878,sph32-,23,0,0,1.0,0.0
13964,srh-,18,0,0,1.0,0.0
13995,srp00,20,0,0,1.0,0.0
14018,srp01,12,0,0,1.0,0.0
14133,student,52,0,0,1.0,0.0
14686,unix,112,0,1,0.9911504424778761,0.0
14936,visitor-,186,0,0,1.0,0.0
15194,vpn-,262,0,0,1.0,0.0
15457,vpn10-,33,0,0,1.0,0.0
15491,vpn11-,57,0,0,1.0,0.0
15610,w0001,82,0,0,1.0,0.0
15728,w0015,14,0,0,1.0,0.0
15753,w0020,42,0,0,1.0,0.0
15798,w0021,43,0,0,1.0,0.0
15846,w0022,48,0,0,1.0,0.0
15897,w0023,44,0,0,1.0,0.0
15942,w0024,36,0,0,1.0,0.0
15979,w0025,33,0,0,1.0,0.0
16013,w0026,42,0,0,1.0,0.0
16056,w0027,32,0,0,1.0,0.0
16091,w0028,39,0,0,1.0,0.0
16135,w0029,42,0,0,1.0,0.0
16226,w0040,60,0,0,1.0,0.0
16289,w0041,69,0,0,1.0,0.0
16359,w0042,40,0,0,1.0,0.0
16400,w0043,66,0,0,1.0,0.0
16469,w0044,23,0,0,1.0,0.0
16493,w0045,11,0,0,1.0,0.0
16505,w0046,50,0,0,1.0,0.0
16556,w0047,71,0,0,1.0,0.0
16628,w0048,35,0,0,1.0,0.0
16664,w0049,24,0,0,1.0,0.0
16701,w0052,13,0,0,1.0,0.0
16715,w0053,72,0,0,1.0,0.0
16788,w0054,48,0,0,1.0,0.0
16837,w0055,19,0,0,1.0,0.0
16857,w0056,64,0,0,1.0,0.0
16922,w0057,41,0,0,1.0,0.0
16964,w0058,87,0,0,1.0,0.0
17052,w0059,65,0,0,1.0,0.0
17128,w0061,22,0,0,1.0,0.0
17151,w0062,15,0,0,1.0,0.0
17212,w0074,13,0,0,1.0,0.0
17242,w0080,41,0,0,1.0,0.0
